orid,area,sub,type,spotlight,n_claims,max_pts,title,authors,arxiv,openreview,alphaxiv,hf
oiMjaUbSWp,Probabilistic Methods,,Poster,False,4,8,On the Epistemic Uncertainty of Overparametrized Neural Networks,David Rügamer,2605.25234,https://openreview.net/forum?id=oiMjaUbSWp,2605.25234,
vSzRJyg6k0,Deep Learning,Large Language Models,Poster,True,5,10,Reward-free Alignment for Conflicting Objectives,Peter Chen; Xiaopeng Li; Xi Chen; Tianyi Lin,2602.02495,https://openreview.net/forum?id=vSzRJyg6k0,2602.02495,2602.02495
Jva4wVEySO,Deep Learning,Generative Models And Autoencoders,Poster,False,2,4,Envisioning Beyond the Few: Disentangled Semantics and Primitives for Few-Shot Atypical Layout-to-Image Generation,Nan Bao; Yifan Zhao; Wenzhuang Wang; Jia Li,2605.31266,https://openreview.net/forum?id=Jva4wVEySO,2605.31266,
WUK8JIeetF,Deep Learning,Generative Models And Autoencoders,Poster,False,2,4,One-step Latent-free Image Generation with Pixel Mean Flows,Yiyang Lu; Susie Lu; Qiao Sun; Hanhong Zhao; Zhicheng Jiang; Xianbang Wang; Tianhong Li; Zhengyang Geng; Kaiming He,2601.22158,https://openreview.net/forum?id=WUK8JIeetF,2601.22158,2601.22158
5TiuerrwR8,Applications,,Poster,False,3,6,Olaf-World: Orienting Latent Actions for Video World Modeling,Yuxin Jiang; Yuchao Gu; Ivor Tsang; Mike Zheng Shou,2602.10104,https://openreview.net/forum?id=5TiuerrwR8,2602.10104,2602.10104
53wE3EbrgK,Social Aspects,Safety,Poster,False,3,6,REALISTA: Realistic Latent Adversarial Attacks that Elicit LLM Hallucinations,Buyun Liang; Jinqi Luo; Liangzu Peng; Kwan Ho Ryan Chan; Darshan Thaker; Kaleab A Kinfu; Fengrui Tian; Hamed Hassani; Rene Vidal,2605.12813,https://openreview.net/forum?id=53wE3EbrgK,2605.12813,2605.12813
O8jabXEYlQ,Reinforcement Learning,Everything Else,Poster,False,4,8,Phase-Aware Mixture of Experts for Agentic Reinforcement Learning,Shengtian Yang; Yu Li; Shuo He; Yewen Li; Qingpeng Cai; Peng Jiang; Lei Feng,2602.17038,https://openreview.net/forum?id=O8jabXEYlQ,2602.17038,
CT2tSmahVQ,Deep Learning,Large Language Models,Poster,False,4,8,Deep sequence models tend to memorize geometrically; it is unclear why,Shahriar Noroozizadeh; Vaishnavh Nagarajan; Elan Rosenfeld; Sanjiv Kumar,2510.26745,https://openreview.net/forum?id=CT2tSmahVQ,2510.26745,2510.26745
JcjRShiRQz,Social Aspects,Safety,Poster,False,4,8,Dissect and Prune: Enhancing Robustness in AI-Generated Image Detection,Dahye Kim; Jaehyun Choi; Hyun Seok Seong; Seongho Kim; Donghun Lee; Sungwon Yi; Jang-Ho Choi,2606.10309,https://openreview.net/forum?id=JcjRShiRQz,2606.10309,
3NQSeJOfkz,Probabilistic Methods,Variational Inference,Poster,True,4,8,SVRG and Beyond via Posterior Correction,Nico Daheim; Thomas Möllenhoff; Ming Liang Ang; Mohammad Emtiyaz Khan,2512.01930,https://openreview.net/forum?id=3NQSeJOfkz,2512.01930,
